target	bank	address	encoding	effect	origin	owner	policy	route
LCDC	31	$4AD5	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$4B2E	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$4DD9	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$7674	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$795D	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$7DA9	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$7EF4	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	32	$527B	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$5902	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$6002	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$65FB	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$686B	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$6CD2	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	32	$6D42	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	38	$408F	ldh	explicit-off	translation	structvwf.feirestore	keep	Fay's Puzzle composite entry and native fixed-tile reload
LCDC	41	$40C8	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	41	$40E1	ldh	explicit-off	translation	menuvwf.starttransition	review	title/file composite shadow-map replacement
LCDC	43	$4086	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	43	$40B6	ldh	explicit-off	translation	rankvwf.rankfinish	review	completed Rankings whole-map publication
LCDC	43	$40C5	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	44	$4066	ldh	explicit-off	translation	name6.namerestore	mixed	complete native menu-font reload retained for Start naming and rejected screen-9 callers; exact carried-Item, Items-appended screen-7 Floor, and screen-20 Floor callers are regional
LCDC	44	$406C	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	46	$429E	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	46	$42B5	ldh	explicit-off	translation	rankvwf.nativerestore	keep	Rankings result/native-font restoration
LCDC	53	$4560	ldh	explicit-off	translation	statusvwf.statusentry	replace-menu	rejected LCD-on Status reconstruction; observed after the Pot Put return and retained for unknown callers
LCDC	53	$4569	ldh	explicit-on	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	53	$54F0	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	53	$55D0	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	53	$7249	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	53	$74B9	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	58	$79AD	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	58	$79B1	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	59	$406F	ldh	explicit-off	translation	normalending.install	keep	Normal-ending full-screen art installation
LCDC	59	$40B3	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	60	$4082	ldh	explicit-on	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	60	$4222	ldh	explicit-off	translation	menuvwf.itemregion	replace-menu	rejected regional Item-row transaction; observed on the synthetic equipment Status-to-Items route
LCDC	60	$4338	ldh	explicit-off	translation	menuvwf.itempage	replace-menu	rejected Item/Pot transaction; observed on Action -> Pot Put selector
LCDC	62	$4476	ldh	explicit-off	translation	menuvwf.infolifecycle	replace-menu	legacy Item/Floor Info or seal whole-map fallback
LCDC-shadow	0	$0180	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$40A2	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$4125	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$463C	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$46DB	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$4702	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	2	$4792	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$4154	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$41FB	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$65F4	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$6657	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$7262	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$72CE	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$7BA9	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	4	$7C3B	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	10	$4031	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	10	$4061	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	10	$4157	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	10	$4186	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4899	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$48EB	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$49A3	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$49B1	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$49FC	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4ADA	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4AE8	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4B33	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4D59	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$4DDE	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7612	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7679	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7915	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7962	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7D4C	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7DAE	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7E99	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	31	$7EF9	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC-shadow	41	$40C5	ld	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC-shadow	43	$4083	ld	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC-shadow	43	$40C2	ld	explicit-on	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC-shadow	46	$429B	ld	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
