# Shiren GB — VILLAGE AND STORY PROSE, as sentences. `tools/wrap_en.py` turns this into
# the `<br>`-carrying rows in `script/en.tsv`.
#
# WHY THIS FILE EXISTS. `<br>` is authored data, so renderer changes do not re-flow old
# text automatically. Production dialogue now uses modified Dot Gothic with independent
# 30-source-glyph and 144-painted-pixel limits. Drafts live here so a measured geometry or
# approved-font change can be applied in one command:
#
#     python3 tools/wrap_en.py script/prose_draft.tsv --apply
#
# WHAT GOES IN A ROW. `loc <TAB> english`, and the English is SENTENCES. No `<br>`, no
# `<end>`, no leading-space indents — the wrapper owns all three, and the `<end>` rule it
# applies is measured off the shipped Japanese (see wrap_en.wrap).
#
# What you DO write:
#   <brk>          a page break you want for pacing. Put them where the Japanese does.
#   <name> <var>   substitution tokens. lint_en checks these survive; the wrapper leaves
#   <cE3:05>       room for what it expands to. The selector inside <cE3:xx> and the <$XX>
#   <mode1><$3C>   after <mode1> are ARGUMENT BYTES, not text — see TRANSLATING.md §7.
#
# SPEAKER TAGS are the short form for the five compounds Joey ruled on 2026-08-05:
# Kinji / Masa / Chief / Gon / Priest. `Fumi's Mom` is her whole name and stays.
# `lint_en.ATTRIBUTION` is what permits this, and only in the opening position.
#
# loc	english

# ============ bank 14 — the Dragon's Maw finale ============
14:$55D8	Kinji: Oh, there you are! Come with me for a minute, <name>.<brk>There's something I want to show you.
14:$5611	Masa: Ah, <name>!<brk>Look at this! Check it out!
14:$5636	Kinji: We built a Warehouse! You can store items in here.
14:$566D	Kinji: We built it for you, <name>.<brk>Well... this is about all we can do for you.
14:$56B2	Masa: This should make your adventures a lot easier.<brk>Good luck with Fumi!
14:$572A	Kinji: We went to all the trouble of building it, so make sure you use it.
14:$574F	Masa: Leave items in the Warehouse and you won't lose them if you collapse during an adventure.<brk>But everything inside a Pot will disappear, so be careful.<brk>Also, you can only take 5 items with you.<brk>Remember, Pots lose their contents.
14:$57E7	Old Seer: Building a Warehouse in a place like that...<brk>Now I'm not getting any sunlight! Those boys never think things through! Honestly!

# ============ bank 14 — gifts, and Nagi at Kuyo Pass ============
14:$5840	Keyaki: Lately, it seems like everyone in the village is starting to accept you, <name>.<brk>I'm so happy...
14:$5875	Innkeeper: No matter how many times you get knocked down, you never give up...<brk>You're every bit the man I thought you were.<brk>Good luck out there!
14:$58CC	Tagura: This is my most treasured toy, but...<brk>I'll give it to you.
14:$58F6	<name> received <cE3:02>.
14:$5902	Tagura: In return, please save Fumi. Promise me!
14:$5924	Keyaki: Are you okay?<brk>...Thank goodness. I was so worried you might be hurt, <name>...
14:$595B	Gon: Urgh...<brk>This is my prized possession, but I'll hand it over to you.
14:$598A	<name> received <cE3:08>.
14:$5996	Gon: Whenever the Shrine Priest is about to scold me, I use this to get away.<brk>Urgh...<brk>It comes in pretty handy!
14:$59E2	Nagi: Waaah!! Wh-what? You're not a monster? You scared me.<brk>...You came to rescue me?<brk>No! I'm not going back!<brk>I might if you promise to save Fumi...
14:$5A59	=<cEC:08>Promise to save Fumi?<br><$81>Yes<br> No
14:$5A7D	Nagi: Hmph! Go back by yourself. I can handle this on my own.<brk>M-monsters don't scare me...
14:$5AB1	Nagi: ............<brk>Waaaaah!! This place really is scary!!
14:$5AE2	Nagi: Waaaaah! Damn it!
14:$5AF5	Nagi: Fine! I'll go back. Don't you forget your promise.<brk>...Truth is, I'm really scared, so, um...<brk>...I'm about to wet myself. Let's hurry back.
14:$5AFD	=Please lets hurry back!<br>I gotta pee. Hurry!<end><brk>
14:$5B5B	Nagi: Oh, you came back!<brk> Let's hurry home. I'm still holding it in.
14:$5B81	=Please lets hurry back!<br>I gotta pee. Hurry!
14:$5B89	Nagi: G-grandpa...
14:$5B9B	Chief: Nagi... Y-you're safe!
14:$5BB2	Nagi: Grandpaaa!!
14:$5BC2	Chief: Nagiii! Whoaaa!
14:$5BD6	Chief: Wh...
14:$5BE1	Nagi: I'm gonna wet myself!!

# ============ bank 14 — the Chief's secret ============
14:$5C1B	Chief: <name>, I believe I know what it is you want to ask.<brk> Please come here tonight.
14:$5C5A	Innkeeper: Oh? Staying the night? That's unusual.
14:$5C73	Chief: W-wait! Don't be alarmed!<brk>It's me, the village chief.<brk>I may look like this, but I'm still in control of myself.<brk>I won't hurt you.<brk>Come closer and hear me out.
14:$5CE0	Chief: When moonlight falls on us, we transform.<brk>It is a trait our clan carries.<brk>Across the sea, I believe they call our kind vampires.<brk>Because of this trait, we live here in hiding, far from prying eyes.<brk>Orochi... the sacrifices... Kuyo Pass...<brk>Please forgive me, but I cannot speak of these things.<brk>Even this conversation is probably reaching Orochi's ears...<brk>There is a scroll beneath the offering box at the shrine.<brk>Read it, and Dragon's Maw should open.<brk><name>, I beg you! Please save Fumi!<brk>If you save her, we can end the custom of sacrifice.<brk>Please free Fumi from this village's cursed fate!
14:$5E92	Chief: Hmm? Would you like to hear my story once more?
14:$5EB3	=<cEC:08>Hear the story?<br><$81>Yes<br> No
14:$5ECC	Gon: Urgh... While they're children, a single fit can make them transform.<brk>And when they become monsters, they don't remember a thing. Urrrgh.

# ============ bank 14 — around the village ============
14:$60E5	Innkeeper: I wonder where Keyaki could have gone off to...
14:$6107	Fumi's Mom: <name>... Please, take care of Fumi...
14:$6127	Gon: So that's Koppa?<brk>Urgh... He looks as stinky as I expected...
14:$615B	Rokuro: Whenever our ancestors' cursed bodies were seen, they fled and hid.<brk>In time, protecting this secret became our ironclad law.
14:$61BD	Tagura: Last night?<brk>I always sleep soundly, though I have strange dreams...
14:$61F4	Nagi: To reach Normal or Hard, check the map on the sign beside the Warehouse entrance.<brk>It'll show you the way. We're counting on you to save Fumi!
14:$6256	Kinji: Gran, building that Warehouse made me hungry again.<brk>Got anything to eat?
14:$6291	Old Seer: Nope. Nothing but a Rotten Onigiri...

# ============ bank 14 — trapped in the village (the post-clear loop) ============
14:$62B6	Keyaki: Oh, you're awake!
14:$62C6	Innkeeper: You're in Moonlight Village.<brk>Didn't you leave?
14:$62F8	Keyaki: What?<brk>You can't leave the village?!
14:$6317	Innkeeper: You made such a grand exit, and now look at you...
14:$6338	Chief: Oh, what's wrong?<brk>What? You can't leave Moonlight Village?<brk>Hmm. How strange...
14:$6386	Priest: What! You can't leave? Hmm.<brk>I offer guidance to those who venture into dungeons.<brk>What would you like to know?<brk>...is what I would say, but even I don't understand this.
14:$6404	Fumi's Mom: Oh, <name>.<brk>Thank you again for everything you did for us.
14:$643E	Gon: Urgh... Oh, it's you. You're back.
14:$6461	Rokuro: Huh? You're back?<brk>I see! You've decided to become one of us. Good, good.
14:$64A7	Masa: Huh? <name>?<brk>What are you doing here...?
14:$64D1	Kinji: <nop>, <name>! What are you doing...<brk>Wait... Don't tell me you came back for Keyaki...
14:$6510	Old Seer: Hm? What's wrong?<brk>Oh! Could it be... You came to see me...? Tee hee.
14:$6548	Tagura: Hey, it's you! Hooray!
14:$6564	Fumi: Oh... what is it? ...Forget something?
14:$6580	Nagi: Huh? You guys...<brk>I know! You had to pee so bad you turned back!
14:$65B9	Keyaki: <name>! Wait!
14:$65C4	Keyaki: Here, take this!
14:$65D0	<name> received <cE3:06>.
14:$65DD	Keyaki: I hope you find a way out.<brk>...But I was happy. Happy that you came back to the village, <name>.
14:$661D	Children: Ooh la la! Things are heating up!
14:$6638	Koppa: Tch, they're just teasing us. Come on, <name>!
14:$6656	Keyaki: ...Are you okay?<brk>Don't push yourself too hard.
14:$6678	Innkeeper: Back again? You must really like this village...
14:$66AC	Chief: You still can't leave?<brk>Hmm. How strange...
14:$66DD	Masa: Huh? I said I'd build you a house next time you came?<brk>Did I really say that?<brk>W-well... maybe someday.
14:$671F	Old Seer: ...So, when are you and I getting married? ...Tee hee.
14:$6754	Fumi: ...Forgot something again?
14:$6765	Nagi: Again?<brk>It's bad for you to hold it in that long.
14:$678D	Kinji: ...Didn't you come back for Keyaki, <name>?<brk>Then why is she acting so cheerful...?
14:$67E0	Keyaki: <name>! Wait!
14:$67EB	Keyaki: Here, take this! Apparently it's called an ID Bracer.<brk>They say it's really useful... Huh?<brk>You can't take it with you?!<brk>Oh... that's too bad.<brk>I know cheering you on isn't much, but... good luck!
14:$6875	Kinji: Keyaki...
14:$688A	Innkeeper: Kinji stopped by earlier looking for you, <name>.<brk>He wants you to meet him at the shrine.
14:$68C6	Koppa: Hey, <name>! Over there!<brk>Huh? Keyaki's there too. Looks like they're talking.
14:$6920	Keyaki: .....
14:$692B	Kinji: So...
14:$693C	Kinji: Hey, what's wrong?
14:$6950	Keyaki: ...Huh?
14:$695B	Kinji: You're usually much chattier than this... You're acting like <name> today.

# ============ bank 14 — companions ============
14:$70A0	Nagi: I-I can't hold it anymore...
14:$70B7	Nagi: Ugh... I'm gonna collapse before I wet myself. Help...
14:$70BE	I'm gonna collapse before I wet myself. Help...
14:$70D8	Fumi: .........
14:$70E6	Fumi: I feel like I'm going to collapse...
14:$72B4	Pochi: Woof! (Let's do this!)
14:$72CB	Pochi: Woof, wuff!<br>(Leave <var> to me!)
14:$72EA	Pochi: Whine... (I can't go on...)
14:$7518	Rooster: Cluck cluck cluck! (Witness my invincible power!)
14:$753A	Rooster: Cock-a-doodle-doo! Cock-a-doodle-doo!<brk>(<var> is mere<br>small fry! Bring me Orochi!)
14:$756B	Rooster: Guh, cluck cluck...<brk>(Guh... Even I have finally run out of strength...)
14:$75EC	Tanmomo: Meow!<brk>(I'm a no-good cat. Tanmomo...? What a weird name!)
14:$7620	Tanmomo: Mew, me-mew!<br>(<var> is no match!)
14:$767A	Tanmomo: Me-me-mew... (I think I'm dying...)
14:$77AB	Baby Mamel: I'm scared...
14:$77BD	Baby Mamel: I... can't go on...
14:$78D0	=<cEC:04>Fumi is asleep.<br> <br>
14:$78E1	=<cEC:04>Nagi is asleep.<br> <br>
14:$78F3	=<cEC:04>Pochi is asleep.<br> <br>
14:$7905	=<cEC:04>The Rooster is asleep.<br> <br>
14:$7918	=<cEC:04>Tanmomo is asleep.<br> <br>
14:$792B	=<cEC:04>Baby Mamel is asleep.<br> <br>

# ============ bank 14 — Koppa's prompts ============
14:$7941	Koppa: Let's check out Dragon's Maw before we leave.
14:$796C	Koppa: <name>, let's go back to the village!
14:$797E	Koppa: Hey, <name>, let's ask the Village Chief about the village's secret.
14:$79A9	Koppa: For now, let's rest at the Totoya and wait until night.
14:$79D5	Koppa: It's way too quiet... Is no one here?
14:$79F8	Koppa: <name>! The shrine! Let's search the offering box!
14:$7A1E	Koppa: Come to think of it, I can understand animals.<brk>Let's talk to the ones in the village.
14:$7A5F	Koppa: Well, we made it here, but...
14:$7A75	Koppa: Let's hurry and get Fumi home.
14:$7A94	Koppa: All that's left is rescuing Fumi. Let's do this!
14:$7ABC	Koppa: What the heck is going on...?!
14:$7AD7	Koppa: Looks like getting out of here won't be easy...
14:$7AFB	Koppa: That Kinji... He did it on purpose to get Keyaki to admit how she really feels...
14:$7B2B	Koppa: Keyaki said she'd wait at the shrine...<brk>What do you want to do?
14:$7B5C	Koppa: That stray cat we saw... Guess it ran off somewhere.
14:$7B7C	Koppa: ...Hey, when are we ever gonna get out of here?
14:$7BA1	Koppa: This place looks as scary as ever...
14:$7BC2	=Koppa: Brrr... That was scary.<br>Let's hurry home!
14:$7BF2	Koppa: ...Come on, <name>. Let's go.
14:$7C03	Koppa: .....

# ============ bank 14 — record / password labels ============
# These 40 clear-condition rows are staged by `4:$79E4` and displayed five at a time in
# box 44. They now use the 21-source-glyph/144px approved proportional path; `fontaudit.py`
# proves the widest possible current five fit the allocator and `conditionspill.py`
# verifies the real screen plane-exact. 14:$7EE6 is extraction garbage, not a string.
14:$7C78	=Normal + Pochi
14:$7C87	=Normal + Tanmomo
14:$7C97	=Normal + Rooster
14:$7CA7	=Hard + Pochi
14:$7CB9	=Hard + Tanmomo
14:$7CCC	=Hard + Rooster
14:$7CDF	=Escaped Moonlight
14:$7CF1	=1000+ adventures
14:$7D03	=Clear 90000+ Gitan
14:$7D17	=Clear with 0 Gitan
14:$7D22	=Max Fullness 200
14:$7D38	=Max Fullness 10
14:$7D4F	=Clear at Str 1
14:$7D5B	=Cleared at max HP
14:$7D68	=Cleared at Level 1
14:$7D73	=Fully fused weapon
14:$7D87	=Fully fused shield
14:$7D9A	=Got Kabura Sutegi
14:$7DAC	=Got Rasen Fuuma
14:$7DBC	=Strength 30+
14:$7DCD	=Reached max level
14:$7DDD	=Beat a Shopkeeper
14:$7DE7	=Rotten Onigiri
14:$7DFA	=Fell: Pitfall Trap
14:$7E06	=Fell: Poison Arrow
14:$7E11	=Fell: Boulder
14:$7E1C	=Fell while asleep
14:$7E2D	=Fell: Mamel
14:$7E37	=Fell: Baby Mamel
14:$7E45	=Clear 999999 Gitan
14:$7E56	=Fell: Tanmomo
14:$7E61	=Fell: Pochi
14:$7E6B	=Fell: Rooster
14:$7E76	=Fell: Fake Shiren
14:$7E82	=Far-shot Fusion Pot
14:$7E98	=Cleared Normal
14:$7EA0	=Normal: no items out
14:$7EB5	=Cleared Hard
14:$7EC0	=Hard: no items out
14:$7ED8	=Saved Baby Mamel

# ============ bank 11 — after Orochi falls ============
11:$56DB	Fumi's Mom: Ahh...
11:$56E8	Nagi: Fumi, are you hurt? It must've been awful...<brk>I'm just glad you're safe.
11:$571F	Chief: Y-you... You finally defeated Orochi!
11:$5741	Kinji: We did it!
11:$574D	Masa: Now we won't have to sacrifice any more children!
11:$5770	Rokuro: Nothing could make me happier! Tonight, we feast!<brk>Oh, don't worry. It should be cloudy tonight.<brk>So we probably won't transform.<brk>Come on, everyone! Gather around <name> and let's celebrate!
11:$57F6	Everyone: Yeah!!
11:$5803	Innkeeper: Drinks are on me tonight, so have as much as you like!<brk>...Hold on. You're carrying a ton of stuff.<brk>You can't relax like that.<brk>You should put anything important in the Warehouse now.<brk>Wouldn't want to get drunk and lose it...
11:$58B7	Innkeeper: You should put anything important in the Warehouse now.
11:$58E5	Rokuro: Ha ha... This is great!
11:$58F8	Priest: Defeating Orochi is no small feat. Impressive.<brk>Though frankly, it's all thanks to my expert advice.
11:$5940	Masa: Put your things in the Warehouse.<brk>You don't want to lose them.<brk>That Warehouse belongs to you. Use it whenever you like.
11:$59A3	Old Seer: How many years has it been since we had a celebration like this?
11:$59CD	Nagi: Thanks, big bro.<brk>When I saw Fumi again, I was just... so happy.<brk>She seems a lot calmer now, too.
11:$5A22	Fumi: ...Mister... I... My heart's still pounding...
11:$5A50	Tagura: Now the three of us can play together again! Hooray!
11:$5A74	Fumi's Mom: I'm making a bed for <name>.<brk>If you're tired, please rest here.<brk>Once I'm done, I need to help the Innkeeper!
11:$5AD1	Gon: Wa-ha-ha-haaa!
11:$5AE6	Kinji: I found this piece of paper just now...<brk>It says clearing without bringing any items earns another password...<brk>And doing all kinds of other things earns even more...<brk>...I have no idea what that means. Do you, <name>?
11:$5B87	Koppa: ...So then, hic.<brk>I thought, <name>'s in danger!<brk>So I slashed Yoshizota with my sword! Swish!
11:$5BD1	Gon: Wa-ha-ha-haaa!<brk>You're pretty good at telling jokes!

# ============ bank 11 — the farewells (mode1 args are PAUSE lengths, keep exactly) ============
11:$6275	Koppa:<mode1><$14> Let's go, <name>!<mode1><$78><mode0>
11:$628A	Masa:<mode1><$14> See you.<mode1><$28><mode0>
11:$629E	Rokuro:<mode1><$14> Thanks for everything.<mode1><$28><mode0>
11:$62B0	Nagi:<mode1><$14> Take care!<mode1><$28><mode0>
11:$62C3	Chief:<mode1><$14> Take care out there.<mode1><$28><mode0>
11:$62D5	<mode1><$3C>Keyaki:<mode1><$14> Good luck on your next adventure!<mode1><$82><mode0>

# ============ bank 11 — arriving in the village ============
11:$632D	Rokuro: Oh, an outsider...
11:$6340	Tagura: Mister, where'd ya come from?
11:$6359	Gon: Koppa? Never heard of him.<brk>Urgh... Were you supposed to meet him in this village?
11:$6391	Pochi: Woof! Woof woof!
11:$639F	Fumi's Mom: I know it's tradition, but...<brk>Why does it have to be my daughter...?
11:$63C7	Chief: It pains me, but you must give up on Fumi.
11:$63ED	Kinji: No one stands a chance against Orochi. There's nothing we can do.
11:$6415	Nagi: Damn it!
11:$6421	Chief: Ah! Nagi!!
11:$6431	Kinji: This is hard on him, too.<brk>He and Fumi were best friends.
11:$6465	Fumi's Mom: Ohhh...
11:$6473	Kinji: Damn it, if it weren't for Orochi, none of this would have happened...
11:$649A	Chief: This village is ruled by a monster called Orochi.<brk>Once a year we must offer up a young child as a sacrifice.
11:$64EE	Rooster: Cock-a-doodle-doo!
11:$64FA	Innkeeper: Oh, a guest?<brk>Oh, you're not? What a shame. We almost never get visitors from outside.<brk>To be honest, I'm bored out of my mind...
11:$6547	Old Seer: Orochi lives at Kuyo Pass,<brk>along with the monsters that serve him.
11:$657B	Masa: Up ahead is a dangerous place called Kuyo Pass.<brk>If you're determined to go, stop at the shrine first.<brk>The Shrine Priest can teach you a few things.<brk>Kuyo Pass also splits into three roads.<brk>Check the map on that sign to choose one.
11:$662C	Masa: Before heading out, you should talk to a few more villagers.<brk>Kuyo Pass splits into three roads.<brk>Check the map on that sign to choose one.
11:$66A7	Rokuro: W-we've got trouble!!
11:$66BA	Rokuro: Nagi! Nagi's gone!<brk>I've looked everywhere, but I can't find him!
11:$66F1	Masa: Huh? I saw him here just a minute ago...
11:$6713	Rokuro: No way... Wait, I'm sure of it!<brk>He went to rescue Fumi!
11:$6745	Chief: Foolish boy! He'll only become monster food!<brk>He can't have gone very far yet!<brk>If someone goes after him now, they may still catch him...
11:$67A8	Masa: N-not me...<brk>Even if Nagi is the Village Chief's grandson,<brk>I'm not going up there!
11:$67E4	Rokuro: If the monsters get him up there, it's over.<brk>He'll never come back.<brk>There's nothing we can do but give up.
11:$6826	Innkeeper: Honestly, doesn't this village have any real men?!<brk>You're all pathetic!
11:$6856	Innkeeper: Y-you! Are you going to rescue Nagi?!
11:$6875	Masa: Take my advice. You'd better not.
11:$689B	Rokuro: Hey, if the guy wants to go, why stop him?<brk>Let him go.<brk>Must be nice being an outsider.<brk>Even if a monster gets him, he'll just be sent back here...<brk>Unlike us...
11:$690F	Chief: That's enough, Rokuro!!
11:$6921	Rokuro: ...
11:$692B	Innkeeper: Wanderer...
11:$693C	Chief: Rokuro... You've said too much.
11:$695A	Stray Cat: Mew.
11:$6963	Keyaki: Um... are you a traveler?<brk>If you need a place to stay, there's one just down the road.<brk>It's called the Totoya.
11:$69AC	Keyaki: Um, excuse me!...
11:$69BA	Keyaki: ...N-no, never mind. I'm sorry.

# ============ bank 11 — Yoshizota, and the village after Nagi ============
11:$69D8	Innkeeper: Good morning.<brk>You were sleeping like a log. You must've been exhausted.<brk>By the way, you have a visitor.<brk>He asked me to get him when you woke up. See that man over there?
11:$6A42	Yoshizota: I heard you made it back from Kuyo Pass. That's pretty impressive.<brk>Come on, have a drink with me.
11:$6A81	<name> got to talking with the stranger.
11:$6A97	Yoshizota: Name's Yoshizota.<brk>I travel the country selling medicine.<brk>I stop by this village now and then.<brk>So, you're going to rescue Fumi next, right?
11:$6B04	Yoshizota: I hear Orochi's a tough one, but I bet you'll find a way.<brk>Good luck!
11:$6B3B	Yoshizota: I've really taken a liking to you. Let's grab another drink sometime!
11:$6B69	Fumi's Mom: Ohhh...
11:$6B77	=Nagi: It will be all<br> right, missus.<end><brk> This fellow here will<br> save her, I know it!<br> Right!<end><mode0>
11:$6BB2	Chief: Thank you so much. I never thought I'd see Nagi alive again...
11:$6BDF	Chief: What? Yoshizota?<brk>H-he's here in the village?!
11:$6C04	Chief: ..........
11:$6C15	Gon: W-what? Koppa's a weasel?! Then I did see him.<brk>A few days before you arrived.<brk>A weasel that looked like he stank walked right past me.<brk>That's the only time, but he was heading...<brk>toward Kuyo Pass. Urgh...
11:$6CBE	Rokuro: Tch! Don't get cocky just because you saved Nagi.
11:$6CE4	Tagura: Papa, where did Nagi go?
11:$6D05	Masa: You... You're pretty good. I have to admit, I'm impressed.
11:$6D2B	Old Seer: About 15 floors from Moonlight Village<brk>lies a place called Dragon's Maw.<brk>Orochi is another 6 floors beyond that.<brk>In other words, about 21 floors from the village.<brk>You're wondering why I'm telling you this?<brk>I'm starting to think you might actually do something about it...
11:$6DF5	Keyaki: <name>! Wait!
11:$6E00	Keyaki: Now it's finally time to save Fumi.<brk>Here, take this!
11:$6E21	<name> received <cE3:07>.
11:$6E2E	Keyaki: Good luck! ...Oh.
11:$6E42	Kinji: Hey.<brk>Take this.
11:$6E58	<name> received <cE3:04>.
11:$6E64	Kinji: It's my dinner, okay? Don't tell the others.
11:$6E94	Keyaki: Even Kinji's cheering you on...<brk>That makes me happy.
11:$6EB9	Chief: N-Nagi? ...No luck after all?<brk>At a child's pace, he must be about 10 floors in by now...<brk>The monsters around there are fearsome...<brk>Oh, I'm so worried...
11:$6F44	Gon: Urgh... No, I haven't seen him.<brk>This Koppa fellow.<brk>Maybe he went to another village?
11:$6F8B	Rokuro: Tch! Got sent back, huh? I knew you couldn't do it!<brk>Going up there is a waste of time.
11:$6FC6	Tagura: Hey, where did Fumi go?
11:$6FE5	Masa: No one will blame you if you can't save Nagi.<brk>You're an outsider, after all.
11:$7022	Kinji: Graaan, I'm hungry!
11:$703D	Old Seer: You just ate! Wait until dinner.
11:$7072	Old Seer: This village is burdened with a cursed fate.
11:$709C	Rokuro: You... Why do you keep doing this?<brk>There's nothing in it for you.<brk>...Well, if you're determined to go, I won't stop you.<brk>But I'll tell you one thing.<brk>Kuyo Pass splits into three roads.<brk>Check the map on that sign to choose one.
11:$7151	Kinji: Keyaki's so cute... I... I...
11:$717E	Masa: Just because Keyaki's nice to you,<brk>don't get the wrong idea.
11:$71B4	Old Seer: Defying Orochi was impossible from the start.
11:$71DE	Kinji: Are you okay after that fit?...<brk>You still look like you're in pain.
11:$7216	Masa: ......<brk>I-I'm fine. It's finally passing.
11:$7246	=Fumi's Mom: Um... take<br> this.<end><mode0>
11:$7257	=<name> received<br> <cE3:09>.<end><mode0>
11:$7264	Fumi's Mom: Please... Please save Fumi.
11:$7280	Chief: I have seen the weasel you describe.<brk>He ran up the shrine steps and continued toward Kuyo Pass...
11:$72CE	Gon: Urgh... That smelly weasel from the other day...<brk>So he's a friend of yours. Urgh...
11:$730D	Rokuro: Hmph! I... I still don't accept you.
11:$732C	Masa: Oh, it's you!<brk>...Sorry. We're discussing something important.
11:$7360	Kinji: Actually, we're going to surpri...
11:$737F	Masa: Hey!!
11:$738E	Kinji: Whoops. It was supposed to be a secret. Heh heh heh...
11:$73B0	Masa: Heh heh heh heh...
11:$73C1	Masa: Come on, Kinji! Quit slacking!
11:$73E5	Kinji: We have to hurry and finish it!<brk>But I'm starving! I don't have any strength left, bro.
