id	loc	bytes	jp	en	edited_en
78	11:$42A9	8	すばやさのたね	Swift Herb	
79	11:$42B2	6	ちからのたね	Strength Herb	
80	11:$42B9	7	どくけしそう	Antidote Herb	
81	11:$42C1	5	どくそう	Poison Herb	
82	11:$42C7	6	こんらんそう	Confusion Herb	
83	11:$42CE	6	すいみんそう	Sleep Herb	
84	11:$42D5	5	ざっそう	Weed	
85	11:$42DB	7	たかとびそう	Warp Herb	
86	11:$42E3	6	しんきくさ1	New Herb 1	
87	11:$42EA	9	おはらいのまきもの	Purify Scroll	
88	11:$42F4	10	しきべつのまきもの	Identify Scroll	
89	11:$42FF	8	あかりのまきもの	Light Scroll	
90	11:$4308	14	つぼぞうだいのまきもの	Big Pot Scroll	
91	11:$4317	12	しんくうぎりのまきもの	Air Slash Scroll	
92	11:$4324	9	くちなしのまきもの	Silence Scroll	
93	11:$432E	10	ひきあげのまきもの	Return Scroll	
94	11:$4339	11	こまったときのまきもの	Crisis Scroll	
95	11:$4345	12	てきばいそくのまきもの	Fast Foe Scroll	
96	11:$4352	10	バクスイのまきもの	Slumber Scroll	
97	11:$435D	13	パワーアップのまきもの	Power-Up Scroll	
98	11:$436B	10	ぜんめつのまきもの	Wipeout Scroll	
99	11:$4376	10	じばくのまきもの	Detonate Scroll	
100	11:$4381	10	おおべやのまきもの	Big Room Scroll	
101	11:$438C	13	モンスターハウスのまきもの	Ambush Scroll	
102	11:$439A	9	こんらんのまきもの	Confusion Scroll	
103	11:$43A4	13	ジェノサイドのまきもの	Removal Scroll	
104	11:$43B2	8	はくしのまきもの	Blank Scroll	
105	11:$43BB	9	まいごのまきもの	Lost Scroll	
106	11:$43C5	12	てんのめぐみのまきもの	Heaven Scroll	
107	11:$43D2	11	ちのめぐみのまきもの	Earth Scroll	
108	11:$43DE	8	メッキのまきもの	Plating Scroll	
109	11:$43E7	10	すいだしのまきもの	Extract Scroll	
110	11:$43F2	10	ひろえずのまきもの	No-Pickup Scroll	
111	11:$43FD	9	コロコロのまきもの	Rolling Scroll	
112	11:$4407	8	しんきまきもの1	New Scroll 1	
113	11:$4410	8	しんきまきもの2	New Scroll 2	
114	11:$4419	7	ふういんのつえ	Sealing Staff	
115	11:$4421	9	ふきとばしのつえ	Gust Staff	
116	11:$442B	7	しあわせのつえ	Happy Staff	
117	11:$4433	6	ふこうのつえ	Unlucky Staff	
118	11:$443A	8	みがわりのつえ	Decoy Staff	
119	11:$4443	10	ばしょがえのつえ	Swap Staff	
120	11:$444E	6	しんきつえ2	New Staff 2	
121	11:$4455	7	まどうのつえ	Sorcery Staff	
122	11:$445D	9	かなしばりのつえ	Stun Staff	
123	11:$4467	11	いちじしのぎのつえ	Stopgap Staff	
124	11:$4473	8	いたみわけのつえ	Sharing Staff	
125	11:$447C	6	しんきつえ1	New Staff 1	
126	11:$4483	8	ほぞんのツボ	Storage Pot	
127	11:$448C	10	やりすごしのツボ	Hiding Pot	
128	11:$4497	9	ぶんれつのツボ	Dividing Pot	
129	11:$44A1	8	きょうかのツボ	Upgrade Pot	
130	11:$44AA	9	しきべつのツボ	ID Pot	
131	11:$44B4	7	せなかのツボ	Heal Pot	
132	11:$44BC	7	そうこのツボ	Warehouse Pot	
133	11:$44C4	9	じゃくかのツボ	Weakening Pot	
134	11:$44CE	8	そこぬけのツボ	Endless Pot	
135	11:$44D7	8	まもののルツボ	Monster Pot	
136	11:$44E0	8	へんげのツボ	Change Pot	
137	11:$44E9	9	ごうせいのツボ	Fusion Pot	
138	11:$44F3	7	トドのツボ	Walrus Pot	
139	11:$44FB	7	しんきツボ1	New Pot 1	
140	11:$4503	8	おうごんのはね	Golden Feather	
141	11:$450C	7	しあわせのはこ	Happy Box	
142	11:$4514	7	きみょうなはこ	Strange Box	
143	11:$451C	7	イェンダー1	Yendor Amulet 1	
144	11:$4524	7	イェンダー2	Yendor Amulet 2	
145	11:$452C	4	ギタン	 Gitan	
146	11:$4531	5	かさタヌキ	Kasa Tanuki	
147	11:$4673	9	ダイヤのうでわ	Diamond Bracer	
148	11:$467D	9	パールのうでわ	Pearl Bracer	
149	11:$4687	9	ルビーのうでわ	Ruby Bracer	
150	11:$4691	10	サファイアのうでわ	Sapphire Bracer	
151	11:$469C	9	サンゴのうでわ	Coral Bracer	
152	11:$46A6	11	エメラルドのうでわ	Emerald Bracer	
153	11:$46B2	11	アメジストのうでわ	Amethyst Bracer	
154	11:$46BE	10	オパールのうでわ	Opal Bracer	
155	11:$46C9	8	ヒスイのうでわ	Jade Bracer	
156	11:$46D2	8	コハクのうでわ	Amber Bracer	
157	11:$46DB	11	トパーズのうでわ	Topaz Bracer	
158	11:$46E7	8	メノウのうでわ	Agate Bracer	
159	11:$46F0	10	クリスタルのうでわ	Crystal Bracer	
160	11:$46FB	11	ガーネットのうでわ	Garnet Bracer	
161	11:$4707	11	アクアマリンのうでわ	Aqua Bracer	
162	11:$4713	9	ガラスのうでわ	Glass Bracer	
163	11:$471D	10	プラチナのうでわ	Platinum Bracer	
164	11:$472C	5	あかいくさ	Red Herb	
165	11:$4732	5	あおいくさ	Blue Herb	
166	11:$4738	6	きいろいくさ	Yellow Herb	
167	11:$473F	7	みどりのくさ	Green Herb	
168	11:$4747	5	しろいくさ	White Herb	
169	11:$474D	5	くろいくさ	Black Herb	
170	11:$4753	7	つちいろのくさ	Umber Herb	
171	11:$475B	8	かっしょくのくさ	Russet Herb	
172	11:$4764	7	むらさきのくさ	Purple Herb	
173	11:$476C	7	ちゃいろのくさ	Brown Herb	
174	11:$4774	7	はいいろのくさ	Gray Herb	
175	11:$477C	8	みずいろのくさ	Aqua Herb	
176	11:$4785	7	しゅいろのくさ	Scarlet Herb	
177	11:$478D	7	こんいろのくさ	Navy Herb	
178	11:$4795	9	ピンクいろのくさ	Pink Herb	
179	11:$479F	10	オレンジいろのくさ	Orange Herb	
180	11:$47AA	8	はだいろのくさ	Peach Herb	
181	11:$47B3	9	クリームいろのくさ	Cream Herb	
182	11:$47BD	9	ベージュのくさ	Beige Herb	
183	11:$47C7	10	こげちゃいろのくさ	Sepia Herb	
184	11:$47D2	8	レモンいろのくさ	Lemon Herb	
185	11:$47DB	8	バラいろのくさ	Rose Herb	
186	11:$47E4	9	こがねいろのくさ	Golden Herb	
187	11:$47EE	9	おうどいろのくさ	Ochre Herb	
188	11:$47F8	11	ネズミのえのまきもの	Mouse Scroll	
189	11:$4804	9	ウシのえのまきもの	Cow Scroll	
190	11:$480E	9	トラのえのまきもの	Tiger Scroll	
191	11:$4818	11	ウサギのえのまきもの	Rabbit Scroll	
192	11:$4824	10	リュウのえのまきもの	Dragon Scroll	
193	11:$482F	10	ヘビのえのまきもの	Snake Scroll	
194	11:$483A	9	ウマのえのまきもの	Horse Scroll	
195	11:$4844	11	ヒツジのえのまきもの	Sheep Scroll	
196	11:$4850	9	サルのえのまきもの	Monkey Scroll	
197	11:$485A	11	ニワトリのえのまきもの	Rooster Scroll	
198	11:$4866	9	イヌのえのまきもの	Dog Scroll	
199	11:$4870	11	イノシシのえのまきもの	Boar Scroll	
200	11:$487C	9	ネコのえのまきもの	Cat Scroll	
201	11:$4886	9	シカのえのまきもの	Deer Scroll	
202	11:$4890	10	カエルのえのまきもの	Frog Scroll	
203	11:$489B	11	トカゲのえのまきもの	Lizard Scroll	
204	11:$48A7	10	ゾウのえのまきもの	Elephant Scroll	
205	11:$48B2	10	キリンのえのまきもの	Giraffe Scroll	
206	11:$48BD	9	クマのえのまきもの	Bear Scroll	
207	11:$48C7	9	カメのえのまきもの	Turtle Scroll	
208	11:$48D1	9	ツルのえのまきもの	Crane Scroll	
209	11:$48DB	11	スズメのえのまきもの	Sparrow Scroll	
210	11:$48E7	11	ライオンのえのまきもの	Lion Scroll	
211	11:$48F3	9	サイのえのまきもの	Rhino Scroll	
212	11:$48FD	12	コンドルのえのまきもの	Condor Scroll	
213	11:$490A	9	ワニのえのまきもの	Gator Scroll	
214	11:$4914	10	キツネのえのまきもの	Fox Scroll	
215	11:$491F	6	さくらのつえ	Cherry Staff	
216	11:$4926	5	うめのつえ	Plum Staff	
217	11:$492C	5	まつのつえ	Pine Staff	
218	11:$4932	5	たけのつえ	Bamboo Staff	
219	11:$4938	6	すぎのつえ	Cedar Staff	
220	11:$493F	7	やなぎのつえ	Willow Staff	
221	11:$4947	5	くりのつえ	Hazel Staff	
222	11:$494D	5	きんのつえ	Gold Staff	
223	11:$4953	6	ぎんのつえ	Silver Staff	
224	11:$495A	6	どうのつえ	Copper Staff	
225	11:$4961	5	てつのつえ	Iron Staff	
226	11:$4967	5	いしのつえ	Stone Staff	
227	11:$496D	6	ほそいツボ	Thin Pot	
228	11:$4974	6	まるいツボ	Round Pot	
229	11:$497B	7	しかくいツボ	Square Pot	
230	11:$4983	8	さんかくのツボ	Triangle Pot	
231	11:$498C	10	でこぼこのツボ	Bumpy Pot	
232	11:$4997	6	ふといツボ	Fat Pot	
233	11:$499E	9	ほしがたのツボ	Star Pot	
234	11:$49A8	11	たまごがたのツボ	Egg Pot	
235	11:$49B4	6	あさいツボ	Shallow Pot	
236	11:$49BB	6	ふかいツボ	Deep Pot	
237	11:$49C2	9	ゆがんだツボ	Warped Pot	
238	11:$49CC	8	くびれたツボ	Pinched Pot	
239	11:$49D5	12	みかづきがたのツボ	Crescent Pot	
240	11:$49E2	9	ひしがたのツボ	Diamond Pot	
241	11:$4B2C	3	マムル	Mamel	
242	11:$4B30	5	しのつかい	Death Reaper	
243	11:$4B36	6	ギャザー	Gather	
244	11:$4B3D	5	ボウヤー	Bowboy	
245	11:$4B43	4	ガマラ	Froggo	
246	11:$4B48	6	デブータ	Porky	
247	11:$4B4F	6	きりせんにん	Fog Hermit	
248	11:$4B56	4	ミドロ	Mudkin	
249	11:$4B5B	6	ぬすっトド	Thiefwalrus	
250	11:$4B62	7	くねくねハニー	Twisty Hani	
251	11:$4B6A	8	エーテルもどき	Air Devil	
252	11:$4B73	8	アイアンヘッド	Metalhead	
253	11:$4B7C	9	おばけダイコン	Ghost Radish	
254	11:$4B86	5	すすりムシ	Leech Worm	
255	11:$4B8C	6	セルアーマー	Cell Armor	
256	11:$4B93	4	タウロス	Taur	
257	11:$4B98	7	いやしウサギ	Fluffy Bunny	
258	11:$4BA0	6	きめんむしゃ	Evil Soldier	
259	11:$4BA7	8	ぼうれいむしゃ	Dead Soldier	
260	11:$4BB0	7	マスターチキン	Master Hen	
261	11:$4BB8	3	チキン	Hen	
262	11:$4BBC	8	こぞうてんぐ	Baby Tengu	
263	11:$4BC5	5	ぴーたん	Egg Thing	
264	11:$4BCB	6	シューベル	Schubell	
265	11:$4BD2	7	とおせんりゅう	Floor Dragon	
266	11:$4BDA	8	パコレプキン	Pumphantasm	
267	11:$4BE3	8	オヤジせんしゃ	Popster Tank	
268	11:$4BEC	8	にぎりへんげ	Nigiri Morph	
269	11:$4BF5	6	ノロージョ	Curse Girl	
270	11:$4BFC	9	ガイコツまどう	Skull Mage	
271	11:$4C06	5	ゲイズ	Gazer	
272	11:$4C0C	8	コドモせんしゃ	Baby Tank	
273	11:$4C15	8	ちょうちんふぐ	Lantern Puffer	
274	11:$4C1E	6	ヤミウッチー	Dark Eye	
275	11:$4C25	8	ばくだんウニ	Explochin	
276	11:$4C2E	5	モラビー	Morabee	
277	11:$4C34	6	にらみヘビ	Glare Snake	
278	11:$4C3B	8	ねずみこぶん	Mouse Minion	
279	11:$4C44	7	カラスてんぐ	Crow Tengu	
280	11:$4C4C	9	かっとびイノシシ	Dash Boar	
281	11:$4C56	5	かさタヌキ	Kasa Tanuki	
282	11:$4C5C	7	カラカイおさる	Teasing Monkey	
283	11:$4C64	4	チンタラ	Chintala	
284	11:$4C69	3	オロチ	Orochi	
285	11:$4C6D	8	あなぐらマムル	Pit Mamel	
286	11:$4C76	9	じごくのししゃ	Hell Reaper	
287	11:$4C80	9	キラーギャザー	Killer Gather	
288	11:$4C8A	8	クロスボウヤー	Crossbowboy	
289	11:$4C93	7	ガマグッチ	Froggucchi	
290	11:$4C9B	7	デブーチョ	Porko	
291	11:$4CA3	6	みのせんにん	Haze Hermit	
292	11:$4CAA	5	ゲドロ	Muddy	
293	11:$4CB0	7	みどりトド	Greenwalrus	
294	11:$4CB8	7	くねくねハニー	Twisty Hani	
295	11:$4CC0	8	エーテルもどき	Air Devil	
296	11:$4CC9	8	チェインヘッド	Thrashead	
297	11:$4CD2	9	めまわしダイコン	Daze Radish	
298	11:$4CDC	8	きゅういんちゅう	Leech Bug	
299	11:$4CE5	7	クロムアーマー	Metal Armor	
300	11:$4CED	6	ミノタウロス	Minotaur	
301	11:$4CF4	7	いやしウサギ	Fluffy Bunny	
302	11:$4CFC	7	はんにゃむしゃ	Evil Veteran	
303	11:$4D04	8	ぼうれいむしゃ	Dead Soldier	
304	11:$4D0D	8	グレートチキン	Great Hen	
305	11:$4D16	7	カラスてんぐ	Crow Tengu	
306	11:$4D1E	8	にげピータン	Running Egg	
307	11:$4D27	6	メンベルス	Menbell	
308	11:$4D2E	10	ドラゴンヘッド	Dragon Head	
309	11:$4D39	9	パコレプキーナ	Pumpanshee	
310	11:$4D43	8	ガンコせんしゃ	Dadster Tank	
311	11:$4D4C	8	にぎりおやかた	Nigiri Boss	
312	11:$4D55	9	ノロージョのあね	Curse Sis	
313	11:$4D5F	9	ガイコツまじん	Skull Wizard	
314	11:$4D69	10	スーパーゲイズ	Super Gazer	
315	11:$4D74	6	ちびタンク	Mini Tank	
316	11:$4D7B	8	あんどんフグ	Lamp Puffer	
317	11:$4D84	6	フイウッチー	Hidden Eye	
318	11:$4D8B	8	ばくだんウニ	Explochin	
319	11:$4D94	5	ワラビー	Warabee	
320	11:$4D9A	9	ギョロつきヘビ	Goggle Snake	
321	11:$4DA4	9	ねずみおやぶん	Mouse Boss	
322	11:$4DAE	9	ハヤブサてんぐ	Falcon Tengu	
323	11:$4DB8	9	げきとつイノシシ	Ram Boar	
324	11:$4DC2	7	からかさタヌキ	Parasol Tanuki	
325	11:$4DCA	7	チャカシおさる	Mocking Monkey	
326	11:$4DD2	7	ちゅうチンタラ	Mid Chintala	
327	11:$4DDA	3	オロチ	Orochi	
328	11:$4DDE	8	どうくつマムル	Cave Mamel	
329	11:$4DE7	5	しにがみ	Soul Reaper	
330	11:$4DED	8	ヘルギャザー	Hell Gather	
331	11:$4DF6	6	ボウヤー3	Bowyer 3	
332	11:$4DFD	6	ガマゴン	Froggon	
333	11:$4E04	7	デブートン	Porkon	
334	11:$4E0C	7	かすみせんにん	Mist Hermit	
335	11:$4E14	4	オドロ	Mudster	
336	11:$4E19	7	アイアントド	Ironwalrus	
337	11:$4E21	7	くねくねハニー	Twisty Hani	
338	11:$4E29	8	エーテルもどき	Air Devil	
339	11:$4E32	8	ギガヘッド	Megahead	
340	11:$4E3B	8	ねむりダイコン	Sleep Radish	
341	11:$4E44	8	がぶのみムシ	Leech Fly	
342	11:$4E4D	7	チタンアーマー	Steel Armor	
343	11:$4E55	7	メガタウロス	Megataur	
344	11:$4E5D	7	いやしウサギ	Fluffy Bunny	
345	11:$4E65	6	しょうぐん	Evil General	
346	11:$4E6C	8	ぼうれいむしゃ	Dead Soldier	
347	11:$4E75	8	てんぐししょう	Tengu Chief	
348	11:$4E7E	8	とびぴーたん	Flying Egg	
349	11:$4E87	8	ベルトーベン	Bellthoven	
350	11:$4E90	9	スルードラゴン	Dragon Pit	
351	11:$4E9A	10	パコレプキング	Pumplich	
352	11:$4EA5	8	イッテツせんしゃ	Oldster Tank	
353	11:$4EAE	9	にぎりもとじめ	Nigiri Honcho	
354	11:$4EB8	9	ノロージョのはは	Curse Mom	
355	11:$4EC2	8	ガイコツまおう	Skullmancer	
356	11:$4ECB	10	ハイパーゲイズ	Hyper Gazer	
357	11:$4ED6	6	ちびタンク	Mini Tank	
358	11:$4EDD	7	かんてらフグ	Torch Puffer	
359	11:$4EE5	8	ダマシウッチー	Trick Uchi	
360	11:$4EEE	8	ばくだんウニ	Explochin	
361	11:$4EF7	5	タカビー	Takabee	
362	11:$4EFD	8	ガンたれヘビ	Leer Snake	
363	11:$4F06	8	ねずみくろまく	Mouse Don	
364	11:$4F0F	8	イヌワシてんぐ	Eagle Tengu	
365	11:$4F18	8	かいめつイノシシ	Ruin Boar	
366	11:$4F21	7	たんたんタヌキ	Tantan Tanuki	
367	11:$4F29	8	ミクダシおさる	Scorn Monkey	
368	11:$4F32	6	おおチンタラ	Big Chintala	
369	11:$4F39	3	オロチ	Orochi	
370	11:$4F3D	8	とうぞくばん	Sheriff	
371	11:$4F46	5	ばんけん	Guard Dog	
372	11:$4F4C	4	てんしゅ	Shopkeeper	
373	11:$4F51	4	コッパ	Koppa	
374	11:$4F56	5	フミのはは	Fumi's Mom	
375	11:$4F5C	2	フミ	Fumi	
376	11:$4F5F	3	ポチ	Pochi	
377	11:$4F63	4	むらおさ	Village Chief	
378	11:$4F68	3	ナギ	Nagi	
379	11:$4F6C	4	ニワトリ	Rooster	
380	11:$4F71	4	かんぬし	Shrine Priest	
381	11:$4F76	8	ぱしりのゴン	Gon the Gofer	
382	11:$4F7F	3	おかみ	Innkeeper	
383	11:$4F83	3	ケヤキ	Keyaki	
384	11:$4F87	7	だいくのマサ	Builder Masa	
385	11:$4F8F	9	だいくのキンジ	Builder Kinji	
386	11:$4F99	4	ロクロウ	Rokuro	
387	11:$4F9E	7	こどもマムル	Baby Mamel	
388	11:$4FA6	8	うらないババ	Old Seer	
389	11:$4FAF	4	タンモモ	Tanmomo	
390	11:$4FB4	4	タグラ	Tagura	
391	11:$4FB9	6	ヨシゾウタ	Yoshizota	
392	11:$4FC0	3	つぼ	Pot	
393	11:$5330	10	 ぼうけんにでる	 Adventure	
394	11:$533B	8	 にっきをつくる	 New Log	
395	11:$5344	8	 にっきをうつす	 Copy Log	
396	11:$534D	7	 にっきをけす	 Erase Log	
397	11:$5355	8	 なまえをかえる	 Rename	
398	11:$535E	15	 ばんづけ／パスワード	 Rank/Pass	
399	11:$536E	5	 かいそう	 Replay	
400	11:$5374	10	 フェイのもんだい	 Fay's Puzzles	
401	11:$537F	7	：ふうらいの 	: Log:<$00>	
402	11:$5387	16	  をけしてもよろしいですか？	 Erase log?	
403	11:$5398	8	 ふうらいにっき	 Log	
404	11:$53A1	4	やさしい	Easy	
405	11:$53A6	3	ふつう	Normal	
406	11:$53AA	6	むずかしい	Hard	
407	11:$53B1	7	ツキカゲむら	Moonlight	
408	11:$53B9	7	へんげのもり	Shift Forest	
409	11:$53C1	9	コマシラどうくつ	Koma Cave	
410	11:$53CB	8	けしんのいわば	Avatar's Crag	
411	11:$53D4	7	クヨウとうげ	Kuyo Pass	
412	11:$53DC	8	りゅうのあぎと	Dragon's Maw	
413	11:$53E5	7	オロチのまくつ	Orochi's Den	
414	11:$53ED	12	ツキカゲむらでぐち	Moonlight Exit	
415	11:$53FA	6	 どうぐ	 Item	
416	11:$5401	5	 あしもと	 Floor	
417	11:$5407	3	 わな	 Trap	
418	11:$540B	6	 かいだん	 Stairs	
419	11:$5412	5	 マップ	 Map	
420	11:$5418	5	 とじる	 Close	
421	11:$541E	6	 でぐち	 Exit	
422	11:$5425	4	 おわる	 Quit	
423	11:$542A	4	 おりる	 Down	
424	11:$542F	5	 あがる	 Up	
425	11:$5435	4	 すすむ	 Proceed	
426	11:$543A	5	 そのまま	 Stay	
427	11:$5440	3	 ふむ	 Trigger	
428	11:$5444	7	 ばんづけ	 Rank	
429	11:$544C	8	 パスワード	 Pass	
430	11:$5459	9	もっとむずかしい	Expert	
431	11:$548B	17	ドラゴンけいモンスターにつよい	Strong vs Dragons	
432	11:$549D	16	ゴーストけいモンスターにつよい	Strong vs Ghosts	
433	11:$54AE	13	ひとつめモンスターにつよい	Strong vs One-Eyes	
434	11:$54BC	19	ステータスをうばうモンスターにつよい	Strong vs drainers	
435	11:$54D0	4	「にく」	[Meat]	
436	11:$54D5	7	かべをほれる	Can dig walls	
437	11:$54DD	15	かならずこうげきがあたる	Attacks never miss	
438	11:$54ED	15	かいしんのいちげきがでる	Lands criticals	
439	11:$54FD	21	まえ3ほうこう 1どにこうげきできる	Hits all 3 ahead	
440	11:$5513	10	おなかがへりにくい	Get hungry slower	
441	11:$551E	10	おなかがへりやすい	Get hungry faster	
442	11:$5529	5	さびない	Never rusts	
443	11:$552F	5	「どく」	[Poison]	
444	11:$5535	19	ドラゴンのほのおのちからをよわめる	Cuts dragon fire	
445	11:$5549	16	うけたダメージを はねかえす	Counters damage	
446	11:$555A	14	まほうこうげきをはねかえす	Reflects magic	
447	11:$5569	16	てきのこうげきがあたりにくい	Foes often miss	
448	11:$557A	22	こうげきをうけるたびにつよさがさがる	Weakens when hit	
449	11:$5591	19	ばくはつのダメージをすくなくする	Cuts blast damage	
450	11:$55A5	6	ぬすまれない	Can't be stolen	
451	11:$55C6	23	そうびするとこうげきりょくがあがるぞ	Raises attack.	
452	11:$55DE	17	おおきなダメージをあたえるぞ	Deals big damage.	
453	11:$55F0	24	そうびするとぼうぎょりょくがあがるぞ	Raises defense.	
454	11:$5609	7	そうびすると	When equipped:	
455	11:$5611	17	なげて つかうこともできるぞ	Can be thrown too.	
456	11:$5623	15	なげても こうかがあるぞ	Works when thrown.	
457	11:$5633	11	とおくからモンスターを	Attack monsters	
458	11:$563F	20	そうびすれば セレクトをおしながら	Equip, hold Select	
459	11:$5654	16	Aボタンで やを うてるぞ	press A to fire.	
460	11:$5665	17	カベになげてわれば なかみを	Break it on a wall	
461	11:$5677	8	とりだせるぞ	to get them out.	
462	11:$5680	14	なかまにも きいてしまうぞ	Allies feel it too	
463	11:$568F	14	モンスターにむかって ふると	Wave at a monster:	
464	11:$56C3	23	フミ「・・・おかあさん<end><br> おかあさーん！！」	Fumi: ...Mom.<end><brk> Mooom!!	
465	11:$56DB	12	フミのはは「ああ・・・」	Fumi's Mom: Ahh...	
466	11:$56E8	54	ナギ「フミちゃん ケガないかい？<br> つらかっただろうに・・・けど<br> よかったよ ぶじで・・・」	Nagi: Fumi, are you hurt? It<br> must've been awful...<end><brk> I'm just glad you're safe.	
467	11:$571F	33	むらおさ「オ、オロチを・・・<br> オロチを ついに たおしたのか！」	Chief: Y-you... You finally<br> defeated Orochi!	
468	11:$5741	11	キンジ「やったあ！」	Kinji: We did it!	
469	11:$574D	34	マサ「もう こどもたちを いけにえに<br> しなくても すむんだ！」	Masa: Now we won't have to<br> sacrifice any more children!	
470	11:$5770	133	ロクロウ「こんなメデタイことは<br> ないぜ。さあ こんやはえんかいだ！<end><brk> おっと しんぱいしなくてもいいぜ。<br> きょうは くもっているだろうから<br> へんしんは たぶん しねえぜ。<end><brk> さあ みんな！ <name>さんを<br> かこんで ドンチャンやろうぜ！」	Rokuro: Nothing could make me<br> happier! Tonight, we feast!<end><brk> Oh, don't worry. It should be<br> cloudy tonight.<end><brk> So we probably won't<br> transform.<end><brk> Come on, everyone! Gather<br> around <name> and let's<br> celebrate!	
471	11:$57F6	12	みんな「おおーーっ！！」	Everyone: Yeah!!	
