# Shiren GB — THE GLOSSARY. 391 item, monster, appearance and NPC names.
#
# WHY THIS FILE EXISTS, AND WHY IT IS FROZEN
#
# `こんぼう` is an item name, a line of help text, a combat message and a shop's dialogue.
# Translated batch by batch it becomes Club / Cudgel / Stick, and review cannot catch that
# -- catching it means holding 1,263 strings in your head at once. So the names are
# translated ONCE, here, and every later batch takes them as a constraint.
# `tools/lint_en.py --glossary` enforces it: if a Japanese string contains a glossary
# term, the English must use the frozen rendering.
#
# HOUSE STYLE, decided by Joey 2026-08-04
#
#   * Names read as modern official Shiren English -- plain and meaning-first -- rather
#     than as the Aeon Genesis SNES romanisations. `ひとつめゴロシ` is "One-Eye Killer",
#     not "Hitotsume Goroshi".
#   * The CATEGORY nouns are Aeon Genesis', so the two projects agree where it is cheapest
#     for them to: Herb / Bracer / Staff / Pot / Scroll. (`~/Documents/Workplace/Shiren/
#     shiren-revamp-fixes/text/{itemnames,enemynames}.asm` is the sibling's table.)
#   * A tier family reads as a family: Rat Minion / Rat Boss / Rat Kingpin.
#   * Proper nouns that carry no meaning in Japanese either stay transliterated --
#     Mamel, Gazer, Chintala, Orochi.
#
# SERIES TERMINOLOGY AUDIT, 2026-08-10. Monster/NPC names now prefer an exact Japanese
# match from the newest official English Shiren release represented by the Mystery Dungeon
# Franchise Wiki, then Shiren 1 DS, then an established unflagged Moonlight Village wiki
# name. Wiki entries explicitly marked unofficial are not silently adopted; unresolved
# differences live in script/term_uncertainties.tsv. The Shiren 2 fan-patch list is the
# next authority when an exact official term does not exist.
#
# VWF BUDGET RESET IN PROGRESS (2026-08-09). See VWF_BUDGETS.md.
#
#   class item, appearance -> legacy ITEM_CAP source/substitution guard: 16 chars
#   class monster, npc     -> legacy NAME_CAP source/substitution guard: 14 chars
#
# These are NOT Dot Gothic pixel limits. A combat line and its runtime name still share a
# 144px canvas, but the old 14/16 numbers were carried forward from fixed-width cells
# without remeasuring every substitution path. `lint_en.py --glossary` keeps them as a
# conservative engineering-review guard while that census is open. If a proposed name
# crosses one, do not shorten it automatically: measure its menu suffix variants and every
# runtime template, then widen/fix the source path or choose wording on actual evidence.
#
# THE CURRENT ITEM-LIST CONTRACT IS SEPARATE. The proportional payload owns 128px and its
# source scanner currently accepts at most 18 glyphs, including runtime status suffixes.
# `True Rapier+99` leaves comfortable pixel and allocator headroom; the wider guard stays
# in place so another long equipment name plus a native status mark cannot silently fall
# back to fixed width.
# Staff/pot `[NN]` and every signed equipment value remain mandatory audit variants; do not
# judge a bare name or assume `99` is the widest pair in a proportional font.
#
# DUPLICATE JAPANESE IS NORMAL AND MUST STAY DUPLICATE. `くねくねハニー`, `オロチ`,
# `いやしウサギ`, `ばくだんウニ`, `ぼうれいむしゃ` and `エーテルもどき` each appear at
# two or three tiers with the same name in Japanese; they keep one English name. What the
# collision check forbids is the reverse -- two DIFFERENT Japanese names landing on the
# same English, which would make two monsters indistinguishable in a message.
#
# `New Weapon 3` and friends are unused placeholder slots (`しんきぶき3` = 新規武器3).
# They are named rather than left Japanese so that a slot leaking on screen is legible.
#
# THREE OF THESE WERE NOT IN THE SCRIPT UNTIL 2026-08-04 -- `きみょうなはこ`,
# `エーテルもどき` and `アイアンヘッド`. `き` is code $11, which is `ld de,nn`, so a
# linear scan read the kana as an instruction and extract.py discarded the strings that
# "contained a pointer operand". See tools/extract.py `immediate_refs`.
#
# loc	class	jp	en

# ---------------------------------------------------------------- weapons
11:$4257	item	むてきそう	Invincible Herb
11:$425D	item	てんしのたね	Angel Seed
11:$4264	item	ふっかつのくさ	Revival Herb
11:$426C	item	クネクネそう	Wriggle Herb
11:$4273	item	ふこうのたね	Unlucky Seed
11:$427A	item	ちょうふこうのたね	Cursed Seed
11:$4284	item	ものわすれのくさ	Amnesia Herb
11:$428D	item	いのちのくさ	Life Herb
11:$4294	item	いかくちょうのたね	Expansion Seed
11:$429E	item	いしゅくしょうのたね	Shrink Seed
11:$42A9	item	すばやさのたね	Swift Herb
11:$42B2	item	ちからのたね	Strength Herb
11:$42B9	item	どくけしそう	Antidote Herb
11:$42C1	item	どくそう	Poison Herb
11:$42C7	item	こんらんそう	Confusion Herb
11:$42CE	item	すいみんそう	Sleep Herb
11:$42D5	item	ざっそう	Weed
11:$42DB	item	たかとびそう	Warp Herb
11:$42E3	item	しんきくさ1	New Herb 1

# ---------------------------------------------------------------- scrolls
11:$42EA	item	おはらいのまきもの	Purify Scroll
11:$42F4	item	しきべつのまきもの	Identify Scroll
11:$42FF	item	あかりのまきもの	Light Scroll
11:$4308	item	つぼぞうだいのまきもの	Big Pot Scroll
11:$4317	item	しんくうぎりのまきもの	Air Slash Scroll
11:$4324	item	くちなしのまきもの	Silence Scroll
11:$432E	item	ひきあげのまきもの	Return Scroll
11:$4339	item	こまったときのまきもの	Crisis Scroll
11:$4345	item	てきばいそくのまきもの	Fast Foe Scroll
11:$4352	item	バクスイのまきもの	Slumber Scroll
11:$435D	item	パワーアップのまきもの	Power-Up Scroll
11:$436B	item	ぜんめつのまきもの	Wipeout Scroll
11:$4376	item	じばくのまきもの	Detonate Scroll
11:$4381	item	おおべやのまきもの	Big Room Scroll
11:$438C	item	モンスターハウスのまきもの	Ambush Scroll
11:$439A	item	こんらんのまきもの	Confusion Scroll
11:$43A4	item	ジェノサイドのまきもの	Removal Scroll
11:$43B2	item	はくしのまきもの	Blank Scroll
11:$43BB	item	まいごのまきもの	Lost Scroll
11:$43C5	item	てんのめぐみのまきもの	Heaven Scroll
11:$43D2	item	ちのめぐみのまきもの	Earth Scroll
11:$43DE	item	メッキのまきもの	Plating Scroll
11:$43E7	item	すいだしのまきもの	Extract Scroll
11:$43F2	item	ひろえずのまきもの	No-Pickup Scroll
11:$43FD	item	コロコロのまきもの	Rolling Scroll
11:$4407	item	しんきまきもの1	New Scroll 1
11:$4410	item	しんきまきもの2	New Scroll 2

# ---------------------------------------------------------------- staffs
11:$4419	item	ふういんのつえ	Sealing Staff
11:$4421	item	ふきとばしのつえ	Gust Staff
11:$442B	item	しあわせのつえ	Happy Staff
11:$4433	item	ふこうのつえ	Unlucky Staff
11:$443A	item	みがわりのつえ	Decoy Staff
11:$4443	item	ばしょがえのつえ	Swap Staff
11:$444E	item	しんきつえ2	New Staff 2
11:$4455	item	まどうのつえ	Sorcery Staff
11:$445D	item	かなしばりのつえ	Bind Staff
11:$4467	item	いちじしのぎのつえ	Stopgap Staff
11:$4473	item	いたみわけのつえ	Sharing Staff
11:$447C	item	しんきつえ1	New Staff 1

# ---------------------------------------------------------------- pots
11:$4483	item	ほぞんのツボ	Storage Pot
11:$448C	item	やりすごしのツボ	Hiding Pot
11:$4497	item	ぶんれつのツボ	Dividing Pot
11:$44A1	item	きょうかのツボ	Upgrade Pot
11:$44AA	item	しきべつのツボ	ID Pot
11:$44B4	item	せなかのツボ	Back Pot
11:$44BC	item	そうこのツボ	Warehouse Pot
11:$44C4	item	じゃくかのツボ	Weakening Pot
11:$44CE	item	そこぬけのツボ	Endless Pot
11:$44D7	item	まもののルツボ	Monster Pot
11:$44E0	item	へんげのツボ	Change Pot
11:$44E9	item	ごうせいのツボ	Fusion Pot
11:$44F3	item	トドのツボ	Todo Pot
11:$44FB	item	しんきツボ1	New Pot 1

# ---------------------------------------------------------------- treasures and other
11:$4503	item	おうごんのはね	Golden Feather
11:$450C	item	しあわせのはこ	Happy Box
11:$4514	item	きみょうなはこ	Strange Box
11:$451C	item	イェンダー1	Yendor Amulet 1
11:$4524	item	イェンダー2	Yendor Amulet 2
11:$452C	item	ギタン	Gitan
11:$4531	item	かさタヌキ	Kasa Tanuki

# ================================================================ APPEARANCE NAMES
# Unidentified items are named by how they look. Mechanical, and the only rule that
# matters is that the category noun matches the identified item's.

# ---- bracers by gem
11:$4673	appearance	ダイヤのうでわ	Diamond Bracer
11:$467D	appearance	パールのうでわ	Pearl Bracer
11:$4687	appearance	ルビーのうでわ	Ruby Bracer
11:$4691	appearance	サファイアのうでわ	Sapphire Bracer
11:$469C	appearance	サンゴのうでわ	Coral Bracer
11:$46A6	appearance	エメラルドのうでわ	Emerald Bracer
11:$46B2	appearance	アメジストのうでわ	Amethyst Bracer
11:$46BE	appearance	オパールのうでわ	Opal Bracer
11:$46C9	appearance	ヒスイのうでわ	Jade Bracer
11:$46D2	appearance	コハクのうでわ	Amber Bracer
11:$46DB	appearance	トパーズのうでわ	Topaz Bracer
11:$46E7	appearance	メノウのうでわ	Agate Bracer
11:$46F0	appearance	クリスタルのうでわ	Crystal Bracer
11:$46FB	appearance	ガーネットのうでわ	Garnet Bracer
11:$4707	appearance	アクアマリンのうでわ	Aqua Bracer
11:$4713	appearance	ガラスのうでわ	Glass Bracer
11:$471D	appearance	プラチナのうでわ	Platinum Bracer

# ---- herbs by colour
11:$472C	appearance	あかいくさ	Red Herb
11:$4732	appearance	あおいくさ	Blue Herb
11:$4738	appearance	きいろいくさ	Yellow Herb
11:$473F	appearance	みどりのくさ	Green Herb
11:$4747	appearance	しろいくさ	White Herb
11:$474D	appearance	くろいくさ	Black Herb
11:$4753	appearance	つちいろのくさ	Umber Herb
11:$475B	appearance	かっしょくのくさ	Russet Herb
11:$4764	appearance	むらさきのくさ	Purple Herb
11:$476C	appearance	ちゃいろのくさ	Brown Herb
11:$4774	appearance	はいいろのくさ	Gray Herb
11:$477C	appearance	みずいろのくさ	Aqua Herb
11:$4785	appearance	しゅいろのくさ	Scarlet Herb
11:$478D	appearance	こんいろのくさ	Navy Herb
11:$4795	appearance	ピンクいろのくさ	Pink Herb
11:$479F	appearance	オレンジいろのくさ	Orange Herb
11:$47AA	appearance	はだいろのくさ	Peach Herb
11:$47B3	appearance	クリームいろのくさ	Cream Herb
11:$47BD	appearance	ベージュのくさ	Beige Herb
11:$47C7	appearance	こげちゃいろのくさ	Sepia Herb
11:$47D2	appearance	レモンいろのくさ	Lemon Herb
11:$47DB	appearance	バラいろのくさ	Rose Herb
11:$47E4	appearance	こがねいろのくさ	Golden Herb
11:$47EE	appearance	おうどいろのくさ	Ochre Herb

# ---- scrolls by picture
11:$47F8	appearance	ネズミのえのまきもの	Mouse Scroll
11:$4804	appearance	ウシのえのまきもの	Cow Scroll
11:$480E	appearance	トラのえのまきもの	Tiger Scroll
11:$4818	appearance	ウサギのえのまきもの	Rabbit Scroll
11:$4824	appearance	リュウのえのまきもの	Dragon Scroll
11:$482F	appearance	ヘビのえのまきもの	Snake Scroll
11:$483A	appearance	ウマのえのまきもの	Horse Scroll
11:$4844	appearance	ヒツジのえのまきもの	Sheep Scroll
11:$4850	appearance	サルのえのまきもの	Monkey Scroll
11:$485A	appearance	ニワトリのえのまきもの	Rooster Scroll
11:$4866	appearance	イヌのえのまきもの	Dog Scroll
11:$4870	appearance	イノシシのえのまきもの	Boar Scroll
11:$487C	appearance	ネコのえのまきもの	Cat Scroll
11:$4886	appearance	シカのえのまきもの	Deer Scroll
11:$4890	appearance	カエルのえのまきもの	Frog Scroll
11:$489B	appearance	トカゲのえのまきもの	Lizard Scroll
11:$48A7	appearance	ゾウのえのまきもの	Elephant Scroll
11:$48B2	appearance	キリンのえのまきもの	Giraffe Scroll
11:$48BD	appearance	クマのえのまきもの	Bear Scroll
11:$48C7	appearance	カメのえのまきもの	Turtle Scroll
11:$48D1	appearance	ツルのえのまきもの	Crane Scroll
11:$48DB	appearance	スズメのえのまきもの	Sparrow Scroll
11:$48E7	appearance	ライオンのえのまきもの	Lion Scroll
11:$48F3	appearance	サイのえのまきもの	Rhino Scroll
11:$48FD	appearance	コンドルのえのまきもの	Condor Scroll
11:$490A	appearance	ワニのえのまきもの	Gator Scroll
11:$4914	appearance	キツネのえのまきもの	Fox Scroll

# ---- staffs by wood
11:$491F	appearance	さくらのつえ	Cherry Staff
11:$4926	appearance	うめのつえ	Plum Staff
11:$492C	appearance	まつのつえ	Pine Staff
11:$4932	appearance	たけのつえ	Bamboo Staff
11:$4938	appearance	すぎのつえ	Cedar Staff
11:$493F	appearance	やなぎのつえ	Willow Staff
11:$4947	appearance	くりのつえ	Hazel Staff
11:$494D	appearance	きんのつえ	Gold Staff
11:$4953	appearance	ぎんのつえ	Silver Staff
11:$495A	appearance	どうのつえ	Copper Staff
11:$4961	appearance	てつのつえ	Iron Staff
11:$4967	appearance	いしのつえ	Stone Staff

# ---- pots by shape
11:$496D	appearance	ほそいツボ	Thin Pot
11:$4974	appearance	まるいツボ	Round Pot
11:$497B	appearance	しかくいツボ	Square Pot
11:$4983	appearance	さんかくのツボ	Triangle Pot
11:$498C	appearance	でこぼこのツボ	Bumpy Pot
11:$4997	appearance	ふといツボ	Fat Pot
11:$499E	appearance	ほしがたのツボ	Star Pot
11:$49A8	appearance	たまごがたのツボ	Egg Pot
11:$49B4	appearance	あさいツボ	Shallow Pot
11:$49BB	appearance	ふかいツボ	Deep Pot
11:$49C2	appearance	ゆがんだツボ	Warped Pot
11:$49CC	appearance	くびれたツボ	Pinched Pot
11:$49D5	appearance	みかづきがたのツボ	Crescent Pot
11:$49E2	appearance	ひしがたのツボ	Diamond Pot

# ================================================================ MONSTERS — tier 1
11:$4B2C	monster	マムル	Mamel
11:$4B30	monster	しのつかい	Death Reaper
11:$4B36	monster	ギャザー	Gather
11:$4B3D	monster	ボウヤー	Bowboy
11:$4B43	monster	ガマラ	Froggo
11:$4B48	monster	デブータ	Porky
11:$4B4F	monster	きりせんにん	Fog Hermit
11:$4B56	monster	ミドロ	Mudkin
11:$4B5B	monster	ぬすっトド	Thiefwalrus
11:$4B62	monster	くねくねハニー	Twisty Hani
11:$4B6A	monster	エーテルもどき	Air Devil
11:$4B73	monster	アイアンヘッド	Metalhead
11:$4B7C	monster	おばけダイコン	Ghost Radish
11:$4B86	monster	すすりムシ	Leech Worm
11:$4B8C	monster	セルアーマー	Cell Armor
11:$4B93	monster	タウロス	Taur
11:$4B98	monster	いやしウサギ	Fluffy Bunny
11:$4BA0	monster	きめんむしゃ	Evil Soldier
11:$4BA7	monster	ぼうれいむしゃ	Dead Soldier
11:$4BB0	monster	マスターチキン	Master Hen
11:$4BB8	monster	チキン	Hen
11:$4BBC	monster	こぞうてんぐ	Baby Tengu
11:$4BC5	monster	ぴーたん	Egg Thing
11:$4BCB	monster	シューベル	Schubell
11:$4BD2	monster	とおせんりゅう	Floor Dragon
11:$4BDA	monster	パコレプキン	Pumphantasm
11:$4BE3	monster	オヤジせんしゃ	Popster Tank
11:$4BEC	monster	にぎりへんげ	Nigiri Imp
11:$4BF5	monster	ノロージョ	Curse Girl
11:$4BFC	monster	ガイコツまどう	Skull Mage
11:$4C06	monster	ゲイズ	Gazer
11:$4C0C	monster	コドモせんしゃ	Baby Tank
11:$4C15	monster	ちょうちんふぐ	Lantern Puffer
11:$4C1E	monster	ヤミウッチー	Dark Eye
11:$4C25	monster	ばくだんウニ	Explochin
11:$4C2E	monster	モラビー	Morabee
11:$4C34	monster	にらみヘビ	Glare Snake
11:$4C3B	monster	ねずみこぶん	Mouse Minion
11:$4C44	monster	カラスてんぐ	Crow Tengu
11:$4C4C	monster	かっとびイノシシ	Dash Boar
11:$4C56	monster	かさタヌキ	Kasa Tanuki
11:$4C5C	monster	カラカイおさる	Teasing Monkey
11:$4C64	monster	チンタラ	Chintala
11:$4C69	monster	オロチ	Orochi

# ================================================================ MONSTERS — tier 2
11:$4C6D	monster	あなぐらマムル	Pit Mamel
11:$4C76	monster	じごくのししゃ	Hell Reaper
11:$4C80	monster	キラーギャザー	Killer Gather
11:$4C8A	monster	クロスボウヤー	Crossbowboy
11:$4C93	monster	ガマグッチ	Froggucchi
11:$4C9B	monster	デブーチョ	Porko
11:$4CA3	monster	みのせんにん	Haze Hermit
11:$4CAA	monster	ゲドロ	Muddy
11:$4CB0	monster	みどりトド	Greenwalrus
11:$4CB8	monster	くねくねハニー	Twisty Hani
11:$4CC0	monster	エーテルもどき	Air Devil
11:$4CC9	monster	チェインヘッド	Thrashead
11:$4CD2	monster	めまわしダイコン	Daze Radish
11:$4CDC	monster	きゅういんちゅう	Leech Bug
11:$4CE5	monster	クロムアーマー	Metal Armor
11:$4CED	monster	ミノタウロス	Minotaur
11:$4CF4	monster	いやしウサギ	Fluffy Bunny
11:$4CFC	monster	はんにゃむしゃ	Evil Veteran
11:$4D04	monster	ぼうれいむしゃ	Dead Soldier
11:$4D0D	monster	グレートチキン	Great Hen
11:$4D16	monster	カラスてんぐ	Crow Tengu
11:$4D1E	monster	にげピータン	Running Egg
11:$4D27	monster	メンベルス	Menbell
11:$4D2E	monster	ドラゴンヘッド	Dragon Head
11:$4D39	monster	パコレプキーナ	Pumpanshee
11:$4D43	monster	ガンコせんしゃ	Dadster Tank
11:$4D4C	monster	にぎりおやかた	Nigiri Boss
11:$4D55	monster	ノロージョのあね	Curse Sis
11:$4D5F	monster	ガイコツまじん	Skull Wizard
11:$4D69	monster	スーパーゲイズ	Super Gazer
11:$4D74	monster	ちびタンク	Mini Tank
11:$4D7B	monster	あんどんフグ	Lamp Puffer
11:$4D84	monster	フイウッチー	Hidden Eye
11:$4D8B	monster	ばくだんウニ	Explochin
11:$4D94	monster	ワラビー	Warabee
11:$4D9A	monster	ギョロつきヘビ	Goggle Snake
11:$4DA4	monster	ねずみおやぶん	Mouse Boss
11:$4DAE	monster	ハヤブサてんぐ	Falcon Tengu
11:$4DB8	monster	げきとつイノシシ	Ram Boar
11:$4DC2	monster	からかさタヌキ	Parasol Tanuki
11:$4DCA	monster	チャカシおさる	Mocking Monkey
11:$4DD2	monster	ちゅうチンタラ	Mid Chintala
11:$4DDA	monster	オロチ	Orochi

# ================================================================ MONSTERS — tier 3
11:$4DDE	monster	どうくつマムル	Cave Mamel
11:$4DE7	monster	しにがみ	Soul Reaper
11:$4DED	monster	ヘルギャザー	Hell Gather
11:$4DF6	monster	ボウヤー3	Bowyer 3
11:$4DFD	monster	ガマゴン	Froggon
11:$4E04	monster	デブートン	Porkon
11:$4E0C	monster	かすみせんにん	Mist Hermit
11:$4E14	monster	オドロ	Mudster
11:$4E19	monster	アイアントド	Ironwalrus
11:$4E21	monster	くねくねハニー	Twisty Hani
11:$4E29	monster	エーテルもどき	Air Devil
11:$4E32	monster	ギガヘッド	Megahead
11:$4E3B	monster	ねむりダイコン	Sleep Radish
11:$4E44	monster	がぶのみムシ	Leech Fly
11:$4E4D	monster	チタンアーマー	Steel Armor
11:$4E55	monster	メガタウロス	Megataur
11:$4E5D	monster	いやしウサギ	Fluffy Bunny
11:$4E65	monster	しょうぐん	Evil General
11:$4E6C	monster	ぼうれいむしゃ	Dead Soldier
11:$4E75	monster	てんぐししょう	Tengu Chief
11:$4E7E	monster	とびぴーたん	Flying Egg
11:$4E87	monster	ベルトーベン	Bellthoven
11:$4E90	monster	スルードラゴン	Dragon Pit
11:$4E9A	monster	パコレプキング	Pumplich
11:$4EA5	monster	イッテツせんしゃ	Oldster Tank
11:$4EAE	monster	にぎりもとじめ	Nigiri Lord
11:$4EB8	monster	ノロージョのはは	Curse Mom
11:$4EC2	monster	ガイコツまおう	Skullmancer
11:$4ECB	monster	ハイパーゲイズ	Hyper Gazer
11:$4ED6	monster	ちびタンク	Mini Tank
11:$4EDD	monster	かんてらフグ	Torch Puffer
11:$4EE5	monster	ダマシウッチー	Trick Uchi
11:$4EEE	monster	ばくだんウニ	Explochin
11:$4EF7	monster	タカビー	Takabee
11:$4EFD	monster	ガンたれヘビ	Leer Snake
11:$4F06	monster	ねずみくろまく	Mouse Don
11:$4F0F	monster	イヌワシてんぐ	Eagle Tengu
11:$4F18	monster	かいめつイノシシ	Ruin Boar
11:$4F21	monster	たんたんタヌキ	Tantan Tanuki
11:$4F29	monster	ミクダシおさる	Scorn Monkey
11:$4F32	monster	おおチンタラ	Big Chintala
11:$4F39	monster	オロチ	Orochi

# ================================================================ NPCs and set dressing
11:$4F3D	npc	とうぞくばん	Sheriff
11:$4F46	npc	ばんけん	Guard Dog
11:$4F4C	npc	てんしゅ	Shopkeeper
11:$4F51	npc	コッパ	Koppa
11:$4F56	npc	フミのはは	Fumi's Mom
11:$4F5C	npc	フミ	Fumi
11:$4F5F	npc	ポチ	Pochi
11:$4F63	npc	むらおさ	Village Chief
11:$4F68	npc	ナギ	Nagi
11:$4F6C	npc	ニワトリ	Rooster
11:$4F71	npc	かんぬし	Shrine Priest
11:$4F76	npc	ぱしりのゴン	Gon the Gofer
11:$4F7F	npc	おかみ	Innkeeper
11:$4F83	npc	ケヤキ	Keyaki
11:$4F87	npc	だいくのマサ	Builder Masa
11:$4F8F	npc	だいくのキンジ	Builder Kinji
11:$4F99	npc	ロクロウ	Rokuro
11:$4F9E	npc	こどもマムル	Baby Mamel
11:$4FA6	npc	うらないババ	Old Seer
11:$4FAF	npc	タンモモ	Tanmomo
11:$4FB4	npc	タグラ	Tagura
11:$4FB9	npc	ヨシゾウタ	Yoshizota
11:$4FC0	npc	つぼ	Pot
